Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"CA, United States",03/01/2021,18.5,4.7,11.8,6,,0,0,0,10,236.67,,16,2.7,47.91,Clear
"CA, United States",03/02/2021,18.3,6.7,12.1,4.5,,0,0,0,11,274.08,25.9,16,13.8,45.84,Clear
"CA, United States",03/03/2021,17.1,5.5,11,4.3,,0,0,0,19.9,255.67,37.1,16,11,58.19,Clear
"CA, United States",03/04/2021,16.3,7,11.5,4.5,,0,0,0,15.8,188.5,27.7,16,1.4,62.98,Clear
"CA, United States",03/05/2021,17.7,6.5,12.3,5.2,,3.48,0,0,29,184,50,15.9,14.4,65.38,Rain
"CA, United States",03/06/2021,14.5,7,11,5.2,,3.41,0,0,20.2,232.35,41.3,15.8,12.7,65.32,Rain
"CA, United States",03/07/2021,18.1,2.6,10.5,3.4,,0,0,0,15.4,214.75,,15.9,3.5,65.82,Clear
"CA, United States",03/08/2021,14.3,7.1,10.2,4.3,,0,0,0,29.8,216.54,38.2,16,42.7,61.83,Partially cloudy
"CA, United States",03/09/2021,13.2,5.4,9.1,4.6,,7.71,0,0,25.3,172.13,46.6,15.1,72.9,73.34,"Rain, Partially cloudy"
"CA, United States",03/10/2021,11.5,4.1,7.9,3.7,,6.43,0,0,21.5,153.25,31.7,15.3,81.4,80.51,"Rain, Overcast"
"CA, United States",03/11/2021,14.4,2.2,8.1,0.2,,0,0,0,23.2,249.25,31.7,15.4,23.9,71.26,Clear
"CA, United States",03/12/2021,20.6,1.8,10.6,1.4,,0,0,0,24.9,225.58,36.3,16,0.4,57.14,Clear
"CA, United States",03/13/2021,18,5.4,10.4,3.3,,0,0,0,28,172.42,29.5,15.9,3.3,69.05,Clear
"CA, United States",03/14/2021,13.7,6.1,9.9,3.9,,2.74,0,0,21.3,172.42,29.5,15.6,41.9,69.9,"Rain, Partially cloudy"
"CA, United States",03/15/2021,12.1,3,7.4,0.8,,0,0,0,26.4,256.46,37.1,16,38.1,67.45,Partially cloudy
"CA, United States",03/16/2021,15.5,2.1,8.4,0.2,,0,0,0,12.9,214.54,27.7,16,5.4,62.6,Clear
"CA, United States",03/17/2021,13.9,3.4,9.1,3.7,,0,0,0,12.4,178.39,,16,27.4,72.33,Partially cloudy
"CA, United States",03/18/2021,13.6,8.9,11.3,7.5,,9.67,0,0,11.2,160.29,,13,99.4,82.55,"Rain, Overcast"
"CA, United States",03/19/2021,16.2,7.8,12,5.8,,9.4,0,0,16.8,169.92,,12.9,77.5,77.65,"Rain, Overcast"
"CA, United States",03/20/2021,16.2,4,9.9,2.7,,0,0,0,14.1,209.54,,16,7.3,64.44,Clear
"CA, United States",03/21/2021,20,5.6,11.9,2.3,,0,0,0,30.9,305.42,40.7,16,0.4,53.69,Clear
"CA, United States",03/22/2021,17.8,7.3,11.7,5.6,,0,0,0,14.9,188.21,27.7,16,28.9,65.76,Partially cloudy
"CA, United States",03/23/2021,19.9,8.3,13.6,5,,0,0,0,44.9,267.75,61,16,0.7,37.9,Clear
"CA, United States",03/24/2021,20.5,6.8,13.6,4.1,,0,0,0,20.9,268.17,35.3,16,17.7,36.14,Clear
"CA, United States",03/25/2021,18.8,6.6,12.2,5.8,,0,0,0,21.4,211.17,27.7,16,7.8,62.84,Clear
"CA, United States",03/26/2021,23.3,8.3,15,5,,0,0,0,25.8,279.75,40.2,16,0.2,38.31,Clear
"CA, United States",03/27/2021,23.4,4.7,14.4,4,,0,0,0,10.5,137.46,,16,0.8,50.49,Clear
"CA, United States",03/28/2021,26.1,7.1,16.6,,,0,0,0,15.2,202.46,,16,0,47.11,Clear
"CA, United States",03/29/2021,23.2,7.4,15.4,6.1,,0,0,0,24.9,265.5,36.3,16,0,45.52,Clear
"CA, United States",03/30/2021,26.3,10.6,18,,,0,0,0,42.2,322.63,63.7,16,0,20.87,Clear
"CA, United States",03/31/2021,27.7,8.6,17.5,7.6,26.4,0,0,0,13,221.96,,15.9,0.2,33.74,Clear
